,Username,Tweet,Likes,Retweets,No
1242,karawang_online,"Dua warga Bumi Arung Palakka meninggal dengan dugaan setelah menerima suntikan vaksin. Kedua orang itu yakni, Warga Dusun Batu Lappa Desa Samaenre Kecamatan Bengo, Seleng (80 tahun) meninggal usai mendapat vaksinasi covid-19.
https://t.co/3AP4RrYger",1,0,1242
1243,angusberesford,"Download Sertifikat Vaksin Covid-19 di PeduliLindungi, Simak Panduan Berikut untuk Scan QR Code-nya!on 27/12/2021 at 3:53 am https://t.co/qZ4E002ol5",0,0,1243
1244,carilahmas,"Download Sertifikat Vaksin Covid-19 di PeduliLindungi, Simak Panduan Berikut untuk Scan QR Code-nya!on 27/12/2021 at 3:53 am https://t.co/0p7fXADsnG",0,0,1244
1245,kakworo,"Senin, 27 Desember 2021 ibu negara Iriana Joko Widodo meninjau langsung pelaksanaan vaksinasi Covid-19 untuk 100 anak-anak usia 6-11 tahun yang menerima suntikan vaksin Sinovac

@jokowi #IndonesiaMaju https://t.co/fPSiui5OBF",0,0,1245
1246,danteryu3,@puspita_sex Baru pulang habis vaksin covid 19!,0,0,1246
1247,tribunnews,Vaksin Covid-19 Donasi dari Prancis hingga Yunani Tiba di Indonesia https://t.co/6wORngY0ge via @tribunnews,1,0,1247
1248,HUMASPolrespyk,Sumbar Sadar Vaksin Covid-19 Ciptakan Kekebalan Bersama Diwilkum Polres Payakumbuh https://t.co/lKXgDw7GMV,1,0,1248
1249,NSTENDA,SEWA TENDA VAKSIN COVID-19 RAGUNAN JAKARTA SELATAN https://t.co/ahW4W0SWoV,0,0,1249
1250,NSTENDA,SEWA VAKSIN COVID-19 TEBET JAKARTA SELATAN https://t.co/qvXK6BjDxv,0,0,1250
1251,TRANSTV_CORP,"Program vaksinasi anak usia 6-11 tahun kini berjalan secara berkala. Vaksin COVID-19 untuk anak yg digunakan adalah vaksin Sinovac yg sudah ada Emergency Use of Authorization (EUA) dari BPOM, ITAGI, IDAI, serta dinyatakan halal oleh MUI.
Lengkapnya hari ini di CNN News Update! https://t.co/LclpmwFq7p",5,1,1251
1252,HumasPolresHST9,Ayo Vaksin Covid 19 https://t.co/hH0MUoHwoh,0,0,1252
1253,HUMASPolrespyk,Sumbar Sadar Vaksin Covid-19 Ciptakan Kekebalan Bersama Diwilkum Polres Payakumbuh https://t.co/hdkRkLOdL2,1,0,1253
1254,0709Kodim,"Personel Bintara Pembina Desa (Babinsa) Koramil 03/Sempor Serka Haryanto melaksanakan kegiatan pengamanan sekaligus monitoring penyuntikan Vaksin COVID-19 dosis satu dan dosis dua untuk warga masyarakat Desa Donorojo bertempat di SDN 4 Donorojo, Kecamatan Sempor, Kab. Kebumen. https://t.co/TwP9zJ9e2I",0,0,1254
1255,KatokRombeng,"Kebutuhan Vaksin Covid-19 Meningkatkan Hampir 70 Persen.!!

#LangkahMembangunBangsa https://t.co/DJ0iEHagIF",0,0,1255
1256,lettachantik,"Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional (KPC-PEN) di bawah komando Airlangga Hartarto dan Luhut Binsar Pandjaitan sudah menindaklanjuti yang menjadi harapan masyarakat, khususnya umat Islam, terkait penggunaan vaksin halal ungkapnya
#VaksinHalal https://t.co/g4PJjxKUXp",23,20,1256
1257,lettachantik,"ZIFIVAX HALAL

setelah MUI mengeluarkan sertifikasi pada vaksin Covid-19 yg halal yaitu Sinovac dan Zifivax setelah di lakukan oleh Lembaga Pengkajian Pangan, Obat-obatan dan Kosmetik (LPPOM MUI) byk dukungan dr berbagai pihak dan meminta utk segera di eksekusi
#VaksinHalal https://t.co/SkhZg4QAYr",31,25,1257
1258,Polsekmaron,"Gugus Tugas Satgas Covid-19 Kecamatan Maron menghimbau kepada warga masyarakat Kecamatan Maron  untuk mengajak keluarga, sanak saudara, dan tetangga yang belum divaksin untuk segera melakukan vaksinasi di gerai-gerai vaksin yang terjadwal melaksanakan vaksinasi.
.
#PolriPresisi https://t.co/ZMrWHczqLo",0,0,1258
1259,mediaindonesia,"Simak perbincangan mengenai vaksin booster di instagram live Media Indonesia bersama Ketua Satgas Covid-19 IDI, Prof. Dr. dr. Zubairi Djoerban, SpPD-KHOM (K) dan Dewan Pakar Ikatan Ahli Kesehatan Masyarakat Indonesia (IAKMI), Dr. Hermawan Saputra, SKM., MARS., CICS. https://t.co/Ms2CrrdTPR",1,0,1259
1260,revmen_id,"Kabar baik!!!   

Vaksinasi Covid-19 pada anak usia 6-11 tahun sudah digelar pada bulan Desember ini. BPOM pun telah mengeluarkan izin resmi dan status Emergency Use Authorization (EUA) terhadap vaksin Sinovac yang akan diberikan kepada anak-anak. https://t.co/qDt45MBEtB",1,0,1260
1261,TVPertiwi_MY,"Seramai 5.45 juta individu atau 16.7 peratus selesai melengkapkan dos penggalak vaksin COVID-19. Pada Ahad, terdapat pertambahan 62,022 individu melengkapkan suntikan dos penggalak. https://t.co/r7QGTI8Lo7",0,0,1261
1262,kompaslifestyle,"Dosis 3 Vaksin Covid-19 Tak Mampu Cegah Penularan Omicron, Benarkah? https://t.co/h6vsWuuM89",0,0,1262
1263,KatokRombeng,"Indonesia Kedatangan Hampir Sembilan Juta Dosis Vaksin Covid-19.!!

#LangkahMembangunBangsa https://t.co/qxvXRwDqII",0,0,1263
1264,PolsekJ27859372,Bhabinkamtibmas Polsek Jatikalen giat monitoring vaksin covid 19 di Desa Pule https://t.co/R0Icf8QxfK,0,0,1264
1265,PR_Tasikmalaya,"Mencetak Kartu Vaksin Covid-19 Ternyata Tidak Diperlukan, Begini Alasannya https://t.co/S6Q8lBu4lG",0,0,1265
1266,KompasTV,"Cegah Kasus Omicron Bertambah, Luhut Minta Orang Tua Bawa Anak Disuntik Vaksin Covid-19 https://t.co/ONwBXROta2 https://t.co/ioSCh48EW9",5,0,1266
1267,mulmedpoldajtg,"Jangan Takut yaaaa...☺️
Vaksin akan melindungimu dari Covid-19.
Vaksinasi untuk anak usia 6 - 11 Tahun di Rumah Sakit Bhayangkara Tk. II Prof. Awaloedin Djamin Semarang. https://t.co/5ghWlvO8Vv",2,0,1267
1268,fajaronline,Kronologis Dua Warga Bone yang Meninggal Setelah Menerima Vaksin Covid-19 https://t.co/i5eceiQNEJ #bone #VaksinCovid-19,0,0,1268
1269,KecamatanBonang,"Jumat, 24/12/2021 Kasi Kesra Bonang Untung Waluyono, SH bersama staff  Kecamatan Bonang Monitoring  Giat Vaksin Covid-19 Dosis 1 dan 2 di Puskesmas Bonang I Kecamatan Bonang. Bertempat di Puskesmas Bonang I.See this Instagram photo by @kec_bonang https://t.co/T8aBGJsPTI",0,0,1269
1270,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/vkKHP2FgWf,0,0,1270
1271,Kodim0721,Babinsa Kelurahan Jetis Monitoring Dan Pendampingan Vaksin Covid – 19 https://t.co/3b1Ya2Nm2D,0,0,1271
1272,BerekClarita,Vaksin anak sangat penting dilaksanakan agar anak tidak tertular Covid-19. Ayo Disiplin Prokes https://t.co/inxmBimaNs,0,0,1272
1273,polsek_mloe,"Pandemi Covid-19 belum berakhir yaa Sobat Polri. Untuk itu, sebagai langkah menghindari penyebarannya, penting bagi kita untuk disiplin protokol kesehatan di manapun berada dan segera vaksin dosis lengkap. https://t.co/ZARscrV5Qa",1,0,1273
1274,liputan6dotcom,Hoaks Terkini Seputar Covid-19 dari Omicron sampai Vaksin https://t.co/k5OimPCVEk,0,0,1274
1275,bangpoltak,Ngecek hasil test dan vaksin Covid-19 aja masih manual dan lambat kok mau ngomongin Metaverse.,0,0,1275
1276,sapukang1,"Indonesia kedatangan hampir sembilan juta dosis vaksin covid-19 

#LangkahMembangunBangsa https://t.co/zRJUc0Fw3f",0,0,1276
1277,res_bna,"Pandemi Covid-19 belum berakhir yaa Sobat Polri. Untuk itu, sebagai langkah menghindari penyebarannya, penting bagi kita untuk disiplin protokol kesehatan di manapun berada dan segera vaksin dosis lengkap. https://t.co/cTW5Dwmule",0,0,1277
1278,jonathansurbak1,"Vaksin COVID-19 di Riau Capai 73,03 Persen https://t.co/2YEHtZvoAX",0,0,1278
1279,BeritaSubang_PR,"Jauhkan Anak dari Covid 19, Dapatkan Vaksin Anak: Info Lokasi Jadwal Vaksin Anak di Pasar Rebo Jaktim Hari Ini https://t.co/vTd7yeCPP8",0,3,1279
1280,PT_Transjakarta,"@Giacarta28 Pagi kak, sesuai SK Kadishub DKI Jakarta No. 521 Tahun 2021, seluruh pelanggan Transjakarta wajib menunjukkan sertifikat vaksin Covid-19 untuk dapat mengakses seluruh layanan Transjakarta, baik melalui aplikasi Jaki, PeduliLindungi. Terima kasih ^YMW",0,0,1280
1281,BernamaTV,"Sebanyak 22,836,859 individu atau 97.6 peratus populasi dewasa di negara ini telah lengkap menerima suntikan vaksin COVID-19, setakat 11.59 malam tadi.

https://t.co/dqNbk4McY0",2,0,1281
1282,PrasetyoEdi_,"Bisa disekolah, puskesmas, rumah sakit, ataupun sentra vaksinasi terdekat dari rumah. Harapannya dengan vaksin ini anak-anak bisa terlindungi dari penyebaran Covid-19, varian lama ataupun varian baru karena vaksin ini punya beragam manfaat.

#VaksinAnak",2,0,1282
1283,PrasetyoEdi_,"Sejak minggu kemarin saya kembali memulai ikhtiar mengakhiri pandemi ini dengan percepatan vaksinasi Covid-19 bagi anak-anak usia 6-11 tahun di kantor DPRD DKI Jakarta dengan menggunakan vaksin jenis Sinovac yang sudah punya Emergency Use Autorization (EUA)

#VaksinAnak https://t.co/EnSBOo4FUr",12,3,1283
1284,Sirsulk,"Vaksin anak

Vaksin Covid-19 untuk Anak, Berikut Gejala yang Mungkin Bisa Terjadi Usai Vaksin https://t.co/6O8G6wavgq",0,0,1284
1285,SinarOnline,"Sebanyak 22,836,859 individu atau 97.6 peratus populasi dewasa di negara ini telah lengkap menerima suntikan vaksin Covid-19, setakat 11.59 malam Isnin.
https://t.co/tSZY08FNlL",7,0,1285
1286,ZNasution15,@afrkml Masih percaya kah klo COVID-19 itu Bohongan dan suntik Vaksin itu untuk Jualan pemerintah,0,0,1286
1287,batamtoday,"Penerima Vaksin Covid-19 Dosis Lengkap di Indonesia Capai 110,407 Juta Jiwa https://t.co/WmmJTEQLKN",0,0,1287
1288,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/5m5EuTzziB,0,0,1288
1289,hmetromy,"#kualalumpur Sebanyak 22,836,859 individu atau 97.6 peratus populasi dewasa di negara ini lengkap menerima suntikan vaksin Covid-19, setakat 11.59 malam tadi.
https://t.co/HgR9ySUyew",3,1,1289
1290,ruslidermawan,Indonesia kedatangan hampir sembilan juta dosis vaksin covid-19 #LangkahMembangunBangsa https://t.co/9F49si5MRh,0,0,1290
1291,kompascom,"Sheba Sheba Medical Center akan memeriksa efek vaksin (Covid-19 dosis) keempat pada tingkat antibodi dan pencegahan penyakit, dan keamanannya. https://t.co/V3cBRK2cEs",1,0,1291
1292,POLRES_PASER,"Pandemi Covid-19 belum berakhir yaa Sobat Polri. Untuk itu, sebagai langkah menghindari penyebarannya, penting bagi kita untuk disiplin protokol kesehatan di manapun berada dan segera vaksin dosis lengkap. https://t.co/BmyGqQ3PO7",2,0,1292
1293,mazzini_gsp,"Sejak tahun 2005 sampai sekarang ada lebih dari 4.000 warga Swedia yang menyematkan microchip berisikan data pribadinya ke dalam tubuh mereka. Kemungkinan mereka juga akan pasang microchip tracking vaksin Covid-19. 
https://t.co/9I223Yb4U6",36,6,1293
1294,501Awani,"Bagi populasi dewasa, seramai 22.83 juta individu atau 97.6 peratus telah melengkapkan suntikan vaksin COVID-19.

#AWANInews #AWANIpagi #MalaysiaSihat #MyVaksinCOVID19

https://t.co/if2do3tsMr",8,5,1294
1295,mazzini_gsp,Perusahaan asal Swedia DSruptive Subdermals membuat microchip yg ditanam di kulit sebagai ganti dari sertifikat vaksin Covid-19. Microchip itu akan menjadi semacam alat tracing seperti aplikasi Peduli Lindungi jika di sini. https://t.co/yqbHYqlKcM,560,119,1295
1296,tsur4r4_,"Indonesia n kedatangan hampir sembilan juta dosis vaksin covid 19
Yakni kedatangan tahap ke 176,177,178 dan 179 seluruh vaksin dalam kedatangan kali ini yang merupakan donasi dari negara sahabat

#LangkahMembangunBangsa https://t.co/ASFnpR5Z7l",1,0,1296
1297,VioVio1018,"Indonesia lagi lagi kedatangan hampir sembilan juta dosis vaksin covid - 19 yaitu tahap ke 176-177-178 dan 179
.
.
.

👏👏👏👏
#LangkahMembangunBangsa https://t.co/eQSFstcxDh",0,0,1297
1298,Poetri_srikandi,"Indonesia n kedatangan hampir sembilan juta dosis vaksin covid 19
Yakni kedatangan tahap ke 176,177,178 dan 179 seluruh vaksin dalam kedatangan kali ini yang merupakan donasi dari negara sahabat

#LangkahMembangunBangsa https://t.co/moYybme0wc",0,0,1298
1299,Mbokayu__,"Indonesia n kedatangan hampir sembilan juta dosis vaksin covid 19

#LangkahMembangunBangsa https://t.co/VQEcmfy2Yi",0,0,1299
1300,putrisrikandi_,"Indonesia n kedatangan hampir sembilan juta dosis vaksin covid 19

#LangkahMembangunBangsa https://t.co/m6E8VS1MW9",0,0,1300
1301,kumparan,Pemerintah mewajibkan seluruh PNS untuk vaksin COVID-19 sebanyak dua dosis. https://t.co/68ocVw2bQK,6,0,1301
1302,tolis_res,"Pandemi Covid-19 belum berakhir yaa Sobat Polri. Untuk itu, sebagai langkah menghindari penyebarannya, penting bagi kita untuk disiplin protokol kesehatan di manapun berada dan segera vaksin dosis lengkap. https://t.co/sry0vTHgmH",0,0,1302
1303,lantasbanggai,"Pandemi Covid-19 belum berakhir yaa Sobat Polri. Untuk itu, sebagai langkah menghindari penyebarannya, penting bagi kita untuk disiplin protokol kesehatan di manapun berada dan segera vaksin dosis lengkap. https://t.co/nMit0E4v5e",0,0,1303
1304,roelsmajor,"Setelah muncul pil penangkal virus penyebab Covid-19, kini muncul ""vaksin super variant proof"" yang ampuh terhadap segala jenis varian virus penyebab Covid-19. Sungguh suatu lompatan super jumbo dumbo hanya dalam waktu 2 tahun, maka kita saksikanlah...",0,0,1304
1305,antaranews,Sembilan juta vaksin COVID-19 tiba di Indonesia https://t.co/XQMXB4mgbY,1,1,1305
1306,jurnascom,Rumah Sakit Israel akan Suntikan Vaksin COVID 19 Keempat https://t.co/1L9pphzYKS https://t.co/G46fjFOcgh,0,1,1306
1307,CNNIndonesia,Fitur Baru Google: Informasi Tes dan Vaksin Covid-19 Terdekat https://t.co/qHl5vfsdry,5,1,1307
1308,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/Qcy1pYmrA6,0,0,1308
1309,macanrakyat,"Pada hari ini, Minggu (26/12/2021) Indonesia kedatangan hampir sembilan juta dosis vaksin Covid-19 #LangkahMembangunBangsa https://t.co/adEjn6BDU4",0,0,1309
1310,Nurwula76746418,Indonesia kedatangan hampir sembilan juta vaksin covid-19. #LangkahMembangunBangsa https://t.co/YnB7PT2EbA,0,0,1310
1311,Haritshakim_,Hampir Sembilan Juta Vaksin Covid-19 Donasi Tiba di Indonesia #LangkahMembangunBangsa https://t.co/rax5v5wdkx,0,0,1311
1312,khadi923,"Saat ini Indonesia kedatangan hampir sembilan juta dosis vaksin covid 19
#LangkahMembangunBangsa https://t.co/DFoV8kFYpr",0,0,1312
1313,thebestthinggg,Minggu 26 Desember2021 Indonesia kedatangan hampir sembilan juta dosis vaksin Covid-19 #LangkahMembangunBangsa,0,0,1313
1314,nabilahxq,"Hampir Sembilan Juta Vaksin Covid-19 Donasi Tiba di Indonesia, capai target vaksinasi. #LangkahMembangunBangsa https://t.co/aRMulGSR72",0,0,1314
1315,Ekanala_4,"untuk aksssses setara untukkkk vaksin-vaksin Covid-19, diupayakan terjadinya kesetaraan akses terhadap vaksin bagi bangsa-bangsa di dunia. #LangkahMembangunBangsa https://t.co/YRS7MXnjsq",0,0,1315
1316,Cikana_2,"Pada hhhhari ini, Minggu (26/12/2021) Indonesia kedatangan hampir sembillllan juta dosis vaksin Covid-19 #LangkahMembangunBangsa https://t.co/1Qg0bmhYB1",0,0,1316
1317,Ikanan_9,"untuk akses setaaaara untuuuuk vaksin-vaksin Covid-19, diupayakan terjadinya kesetaraan akses terhadap vaksin bagi bangsa-bangsa di dunia. #LangkahMembangunBangsa https://t.co/jSp37KR63v",0,0,1317
1318,yaqudus1,"Indonesia kedatangan hampir sembilan juta dosis vaksin covid 19
#LangkahMembangunBangsa https://t.co/c4sNCg9EoS",0,0,1318
1319,vanilla466,"Indonesia kembali kedatangan vaksin covid-19 yang mencapai hampir 9 juta dosis
#LangkahMembangunBangsa https://t.co/jXw89Sykyw",0,0,1319
1320,mamoccie,Bangsa Indonesia kedatangan hampir 9 juta dosis vaksin covid-19 #LangkahMembangunBangsa https://t.co/JKXO47wu3W,0,0,1320
1321,Briyan39007852,Saat ini Indonesia sudah kedatangan hampir 9 juta dosis vaksin covid-19 #LangkahMembangunBangsa https://t.co/0R99XQhxHB,0,0,1321
1322,Permata7Arif,Hampir Sembilan Juta Vaksin Covid-19 Donasi Tiba di Indonesia #LangkahMembangunBangsa Wah ni ya https://t.co/tfipbwV7bx,0,0,1322
1323,yauzs1,"Hampir Sembilan Juta Vaksin Covid-19 Donasi Tiba di Indonesia yang terbagi menjadi empat tahap kedatangan yakni tahap ke-176, 177, 178, dan 179 
 #LangkahMembangunBangsa https://t.co/hmYrz2szsD",0,0,1323
1324,AhmadKhoir111,"Penerima Vaksin Covid-19 di Indonesia Tembus 110,407 Juta Jiwa, Kominfo: yang Belum Segera Divaksin https://t.co/e5VEldC9vT",1,0,1324
1325,DinkesOfficial,Vaksin dan pasien covid-19 per 26 desember 2021 https://t.co/LyrI5ugpaw,1,0,1325
1326,bharianmy,"#BHdunia Mulai Februari, orang ramai tidak dibenarkan memasuki premis perniagaan tanpa menunjukkan bukti suntikan penggalak vaksin COVID-19

https://t.co/dDHZN3uWro",15,13,1326
1327,ps_toto,"Berhala baru itu bernama COVID-19
Agama baru itu Pandemi Covid
Rasul baru itu antek-anteknya
Kitabnya itu berupa Undang-undang aneh tipudaya.
Disebar dengan opini
Dibaiat dengan vaksin dan prokes.
Neraka nya adalah varian - varian baru https://t.co/1dzfaCbe0p",3,0,1327
1328,KabarSiang,Lebih dari 156 Juta Warga Indonesia Telah Disuntik Vaksin Covid-19 https://t.co/LcZg03coAj #Vaksinasi,0,0,1328
1329,VIVAcoid,"110,6 Juta Warga Sudah Terima Dosis Kedua Vaksin COVID-19 https://t.co/UwV6mUeF5S",2,0,1329
1330,kumparan,Israel akan memberikan suntikan vaksin COVID-19 keempat kepada 150 staf Pusat Medis Sheba pada hari Senin ini dalam rangka uji coba. #kumparanNews https://t.co/j4bNwXOa6v,2,1,1330
1331,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/20a0ylODc6,0,0,1331
1332,medcom_id,"9,2 Juta Orang Sudah Terima 2 Dosis Vaksin Covid-19 di Jakarta https://t.co/RVqxllL60H",0,0,1332
1333,saudinesia,"Juru bicara kementerian kesehatan Arab Saudi Dr. Mohammed Al-Abd Al-Aly menekankan pentingnya mendapatkan vaksin dosis lengkap COVID-19 dan Booster, karena Arab Saudi menunjukkan peningkatan tajam dalam kasus karena #Omicron 

https://t.co/tEHTeY9WVp",9,1,1333
1334,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/eUrUs58Gt1,0,0,1334
1335,korantempo,Peneliti berpacu dengan waktu untuk menemukan vaksin Covid-19. Berkejaran dengan mutasi virus yang tak terkendali.  https://t.co/YgJthRIfzQ #KoranTempo,1,0,1335
1336,korantempo,Para dokter dan vaksinator harus bersiasat menghadapi resistansi masyarakat terhadap vaksin Covid-19. Memanfaatkan pengaruh pemimpin adat.  https://t.co/RWBV87KPul #KoranTempo,3,0,1336
1337,rs_persahabatan,"● Update ●
Pelayanan Vaksin Covid 19 per 27 Desember 2021

Pelayanan Vaksin Covid 19 untuk Anak usia 6 - 11 tahun

#stopcovid19 
#vaksìncovid19 
#vaksìncovid19anak 
#vaksinanaksehat 
#KemenkesRI https://t.co/8TsE7PtHpk",0,0,1337
1338,kangandribdg,Indonesia Kembali Kedatangan Hampir 9 Juta Vaksin Covid-19 https://t.co/Hniw84KTcz,0,0,1338
1339,Sinar_Harapan,"Dr Mei Neni Satgas Imunisasi Ikatan Dokter Anak Indonesia (IDAI) menyebut efek samping vaksin COVID-19 anak sama seperti imunisasi rutin pada umumnya. Gejala yang dilaporkan ringan dan bisa sembuh dalam dua hingga tiga hari ke depan.
https://t.co/BazfQiMKg2 https://t.co/bWTApSwzYi",0,0,1339
1340,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/fs33hbmIZJ,0,0,1340
1341,2020Berita,Indonesia Kembali Kedatangan Hampir 9 Juta Vaksin Covid-19 https://t.co/4O3rDkYMKW,0,0,1341
1342,katakinidotcom,Indonesia Terima 9 Juta Vaksin Covid 19 Melalui Jalur Covax https://t.co/8tTYSX5sup,0,0,1342
1343,Arbaiyah_Nohen,"COVID-19: Masih ada yg salah anggap apabila ‘TIADA GEJALA/GEJALA RINGAN’. Tak bererti:-
- anda boleh abai kuarantin kendiri
- tak sebarkan virus dkt seseorang yg lemah &amp; boleh jd parah!
- tak dpt long Covid
(Wlpn dah vaksin, pakai mask, ruang udara selamat &amp; hadkan kontak)",1,0,1343
1344,INDRAIRAWAN29,"https://t.co/T6UvnNI8Bt 
Pemaksaan Vaksin dan Daruratisasi Varian Covid 19 sudah tidak relevan sebab Ivermectin sudah terbukti ampuh dan diakui Pemerintah",0,0,1344
1345,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/HU72mbKxud,0,0,1345
1346,soloposdotcom,"Razia Vaksin Jalur Wisata Puncak Bogor, Cegah Penularan Covid-19 https://t.co/ek1RbQCoYE",0,0,1346
1347,pantau24jam,Penerima Vaksin COVID-19 Dosis Satu Tambah 459.193 Orang https://t.co/WX62H6hvjx,0,0,1347
1348,okezonenews,Indonesia Kedatangan Hampir 9 Juta Vaksin Covid-19 Hari ini #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/bJ1oKlJgak,0,0,1348
1349,DeliSerdang_Kab,"Hari ini, Minggu (26/12/2021), sedikitnya ada 164 warga Kecamatan Patumbak, Kabupaten Deli Serdang, mendapatkan suntikan vaksin Covid-19.
Kesemuanya masih dosis I, dan dengan Vaksin Sinovac. Info Selengkapnya https://t.co/yiqgPCWy85 https://t.co/bipjCu3VxY",0,0,1349
1350,republikaonline,"Data Satgas menunjukan 110,6 juta warga sudah terima dosis kedua vaksin Covid-19. https://t.co/LucW3md1Vq",0,1,1350
1351,ANTARABengkulu,"110,6 juta warga sudah terima dosis kedua vaksin COVID-19 - ANTARA News Bengkulu https://t.co/9bv8Igg4td",0,0,1351
1352,jpnncom,"Selama 16 hari terakhir, 34.143 anak usia 6 – 11 Tahun di Buleleng telah disuntik vaksin covid-19 #Covid-19 https://t.co/Hc0mrMfB51",0,0,1352
1353,Beritadotnews,"110,6 Juta Warga Indonesia Sudah Terima Dosis Kedua Vaksin COVID-19 https://t.co/Awaahrgof0",0,0,1353
1354,Hayya_busa,"@__Sridiana_3va Tidak semua Nakes sales vaksin atau cari cuan. 
Nakes juga bisa jadi korban kebijakan. 

Benar yg di katakan Bu Dokter : rakyat yg menentukan caranya sendiri dlm mencegah covid 19.
Jadi, vaksin bukan menjadi mandatory",0,0,1354
1355,wamnews_ind,"Kemenkes Mengumumkan Pemberian 12.997 Dosis Vaksin 'Covid-19' dalam 24 Jam Terakhir, Hingga Total Per Hari Ini 22.486.204 Dosis https://t.co/Q5nOhXBRw9 
#WamNews",0,0,1355
1356,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/NBx6RAh4eF,0,0,1356
1357,rsaupwr,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia https://t.co/GstRQTntgo,0,0,1357
1358,hariankompas,"Kementerian Kesehatan menyebut terdapat penambahan 27 kasus baru Covid-19 varian Omicron. Di tengah bertambahnya kasus itu, Indonesia mendapat hampir 9 juta dosis vaksin yang merupakan donasi negara sahabat. #Kesehatan #AdadiKompas @pradiptapm

https://t.co/GK3nL9jmc3",0,0,1358
1359,Mukidi_alNgibul,"Microchip Bukti Vaksin Covid-19 Ditanam ke Tangan Manusia

Sedikit demi sedikit konspirasi tentang Covid19 &amp; Population alias De-Populasi semakin terbukti...
😔😔😔😔😔😔😔😔

@doubleU_NR 

https://t.co/6FpyG9ncXx",6,1,1359
1360,Satlantascmh,"Pandemi Covid-19 belum berakhir yaa Sobat Polri. Untuk itu, sebagai langkah menghindari penyebarannya, penting bagi kita untuk disiplin protokol kesehatan di manapun berada dan segera vaksin dosis lengkap. https://t.co/DoG67HtW5V",0,0,1360
1361,BeritaAcehApp,"Berita Aceh Terkini
Angka Vaksin Covid-19 Aceh Hampir 60 Persen, Enam Hari Lagi Akan Capai Target 70 Persen 

#BeritaAcehTerkini by @BeritaAcehApp
https://t.co/MDPWXekhu3",0,0,1361
1362,pakarnur,"#Vaksin Covid-19 Aceh#Target 70 Persen!

Dia menjelaskan hal itu berkat kerja keras pihak kepolisian bekerjasama dengan TNI dan pemkab/pemko masing-masing daerah.

https://t.co/yETwKkrKhp",0,0,1362
1363,serambinews,"#Vaksin Covid-19 Aceh#Target 70 Persen!

Dia menjelaskan hal itu berkat kerja keras pihak kepolisian bekerjasama dengan TNI dan pemkab/pemko masing-masing daerah.

https://t.co/fCgjuYAd1q",0,0,1363
1364,2twittFree,Microchip Bukti Vaksin COVID-19 Ditanam ke Tangan Manusia https://t.co/sGxlojXZ4p,0,0,1364
1365,FirmRei,Badan Intelijen Negara Beri Bantuan 5004 Dosis Vaksin Covid-19 Untuk Jeneponto https://t.co/Bggodmvv3e,0,0,1365
1366,SatbrimobdaGor1,"PENGAMANAN VAKSIN COVID-19

Lindungi vaksin COVID-19 dari hal-hal yang tidak diinginkan, Satbrimobda Gorontalo perketat penjagaan kantor Instalasi farmasi Dinas kesehatan Provinsi Gorontalo. https://t.co/ptTWg1eIEN",0,0,1366
1367,ikhwan2a,Vaksin Covid-19 Donasi Negara Tetangga Hampir 9 Juta Dosis Tiba di Indonesia – Kemenkes menyatakan vaksin Covid-19 donasi dari negara tetangga sebanyak hampir ... https://t.co/xaHWNZCFjl https://t.co/PxCfIE8eaJ,0,0,1367
