,Username,Tweet,Likes,Retweets,No
43,carilahmas,Indonesia Hemat Rp13 Triliun dari Kerja Sama Bilateral Vaksin Covid-19 https://t.co/jJcHKwPxZQ,0,0,43
44,polisisijunjung,"Akselerasi Vaksin Covid-19, Ditintelkam Polda Sumbar gelar Vaksinasi di Dua Kabupaten https://t.co/kuaGQXCCJh",0,0,44
45,hariankompas,"Polres Pinrang Sulawesi Selatan menetapkan Abdul Rahim sebagai tersangka kasus joki vaksin. Ia mengaku disuntik vaksin COVID-19 sebanyak 17 kali. #VideoBerita #AdadiKompas

https://t.co/VfZrACqA5n",1,0,45
46,kompascom,"Menurut Prasenohadi, tidak adanya gejala pada orang yang terpapar varian Omicron menandakan bahwa efektivitas vaksin Covid-19 bekerja dengan baik. https://t.co/KxFxwhgZFh",3,2,46
47,PR_Tasikmalaya,Segini Jumlah Warga Indonesia yang Telah Mendapatkan Vaksin Dosis Kedua Covid-19 https://t.co/vaecuICsiF,0,0,47
48,voidotid,Juru Bicara Kementerian Kesehatan RI Siti Nadia Tarmizi mengemukakan kerja sama bilateral dalam pengadaan vaksin COVID-19 di Indonesia telah menghemat anggaran negara Rp13 triliun. https://t.co/PJosA63SF2,0,0,48
49,merdekadotcom,Indonesia Hemat Rp13 Triliun dari Kerja Sama Bilateral Vaksin Covid-19 https://t.co/Llb0HJsf3S,1,0,49
50,PR_Tasikmalaya,Segini Jumlah yang Telah Mendapatkan Vaksin Dosis Kedua Covid-19 di Indonesia https://t.co/eUg2rNMEAu,0,0,50
51,riri_rhi,"@dr_koko28 @CNNIndonesia -&gt; terpantau sudah menerima dua dosis vaksin Covid-19.

Ahh twit ini jangan2 maksudnya dokter mau mulai menjalankan misi ayo booster?",7,1,51
52,liputan6dotcom,Kominfo Turunkan 2.525 Konten Hoaks Vaksin Covid-19 di Media Sosial https://t.co/2rzxFkk1BD,1,0,52
53,KAI121,@taniarmeisssss KAI berkomitmen untuk mencegah penyebaran COVID-19 dengan menerapkan prokes ketat. Semua penumpang KA diwajibkan sudah vaksin dan wajib melakukan skrining dengan RT-PCR/RDT Antigen pada perjalanan KA antar kota. Trims. |2,0,0,53
54,detikHealth,Ahli pulmonologi dan kedokteran respirasi FKUI menjelaskan risiko reinfeksi varian Omicron. Ia juga menyinggung pentingnya booster vaksin Covid-19 untuk melawan Omicron. Dua dosis vaksin disebut tidak cukup. https://t.co/MkmV73u4ky,3,0,54
55,lampungpost_,"Jajaran Polsek Terbanggi Besar, Lampung Tengah, bersama Satgas covid-19 setempat menggelar vaksinasi door to door dengan  sasaran   tempat hiburan malam, karaoke, hotel, dan  kafe.
#Vaksin #vaccine #vaccination #vaksindoortodoor #lampostco
https://t.co/AhRoKZQWVa",0,0,55
56,Kodam17Cen,"GELAR VAKSINASI COVID-19, BABINSA BERSINERGI DENGAN POLRES DEIYAI DAN AKTIF BERI EDUKASI KE PESERTA VAKSIN
https://t.co/bUjiMMVi19",0,0,56
57,Antara_Jabar,"113 juta penduduk RI telah mendapatkan vaksin COVID-19 dosis kedua 

https://t.co/4dATflQ64F",0,0,57
58,KAI121,@cicharaa Selamat malam Kak. Penumpang KA Aglomerasi seperti #Joglosemarkerto tidak wajib menunjukkan hasil negatif Covid-19. Silakan cukup menggunakan aplikasi PeduliLindungi yang terdapat data vaksin minimal dosis pertama. Bisa melampirkan kartu vaksin jika tidak menggunakan aplikasi. |1,0,0,58
59,ghe_tholl,"Sudah kuduga...
Semoga tidak ada lagi pemaksaan, intimidasi dll kepada rakyatnya.

Ingat! Vaksin Covid-19 Dosis 3 Tak Lagi Gratis, Cek Harganya https://t.co/2iKh6R3NjA",0,0,59
60,KAI121,"@rizqirmynt Selamat sore Kak. Perjalanan menggunakan KA Kaligung (Aglomerasi), tidak wajib menunjukkan hasil negatif test RT-PCR/Antigen. Namun wajib menunjukkan sertifikat vaksin Covid-19. Informasi lengkap, Kakak bisa cek link https://t.co/Gex6hLrT8U. Terima kasih.",0,0,60
61,santai_tv,"setahun vaksin dilancarkan, kes baharu COVID-19 di Amerika Syarikat (AS) terus melonjak ke paras tertinggi dengan 265,000 sehari secara purata. https://t.co/MyvTxDQhoN",0,0,61
62,InforakyatNet,"setahun vaksin dilancarkan, kes baharu COVID-19 di Amerika Syarikat (AS) terus melonjak ke paras tertinggi dengan 265,000 sehari secara purata. https://t.co/ZOAxYhFD2O",0,0,62
63,monologis_id,"Seorang wanita berinisial SM warga Desa Panjang, Kecamatan Runding, Kota Subulussalam, Aceh membuat postingan di akun media sosial miliknya. Dia menulis; alat vital suaminya sakit setelah di suntik vaksin COVID-19.

https://t.co/H2Jd4u39WI",0,3,63
64,hayyanarzbakery,SUNTIKAN KE-3 VAKSIN COVID-19 https://t.co/CF7rhJBGUQ,0,0,64
65,InfokomPMK,"Yuk, adik-adik yang berumur 6-11 persiapkan diri untuk melakukan vaksin, ya! Bersama kita bisa lawan virus Covid-19!
#vaksinanak #COVID19",0,0,65
66,InfokomPMK,"Sob, vaksin anak usia 6-11 tahun akan segera dimulai, lho! 

Vaksinasi akan dilakukan dengan jenis vaksin Sinovac (Coronavac/Covid 19 Biofarma), untuk jenis vaksin yang lain masih menunggu EUA BPOM dan rekomendasi ITAGI, Sob. https://t.co/PTB2Ak08Yw",0,0,66
67,SatbrimobdaGor1,"PENGAMANAN VAKSIN COVID-19.

Penjagaan Kantor Instalasi Farmasi Dinas kesehatan Provinsi Gorontalo, Satbrimobda Gorontalo memastikan vaksin tersebut tersimpan aman hingga ke masyarakat. https://t.co/2gmqoBdxB1",0,0,67
68,Antara_Kalteng,Sudah 113 juta jiwa mendapatkan vaksin COVID-19 dosis kedua https://t.co/cqpotnjHsU,0,0,68
69,TehManisPanas4,"Masih anti vaksin? Juara Dunia Kickboxing sekaligus Anti-vaksin Meninggal karena Covid-19

Klik untuk baca: https://t.co/ay0793GWPb",0,0,69
70,merdekadotcom,113 Juta Penduduk RI Sudah Disuntik Vaksin Covid-19 Dosis Kedua https://t.co/M5rAbFVuxI,0,0,70
71,BerusahaBaik20,"Apa susahnya ikut vaksinasi? Aman, halal, gratis, dan tubuh mendapat antibodi tambahan. Juara Dunia Kickboxing sekaligus Anti-vaksin Meninggal karena Covid-19
Klik untuk baca: https://t.co/iZ5XEk9lab",0,0,71
72,humas_smd,Update vaksin covid 19 Kabupaten Sumedang https://t.co/bA4bMlZGej,4,0,72
73,sumbarlivetv1,"Akselerasi Vaksin Covid-19, Ditintelkam Polda Sumbar gelar Vaksinasi di Dua Kabupaten  https://t.co/iD6mON1a6H",0,0,73
74,PT_Transjakarta,"Seluruh pelanggan Transjakarta wajib menunjukkan sertifikat vaksin Covid-19 untuk dapat mengakses seluruh layanan Transjakarta, baik melalui aplikasi Jaki, PeduliLindungi, dan/atau sertifikat vaksin yang dikeluarkan oleh lembaga yang berwenang.",0,0,74
75,Jelajah513,"Sebagian pasien terpapar Omicron yang dirawat di RSPI juga terpantau sudah menerima dua dosis vaksin Covid-19.
Melihat hal ini apa pemerintah dan para ahli kesehatan yg pintar2 di Indonesia tdk berpikir ulang ttg vaksin ?
atau akan tetap ngotot melanjutkan pemaksaan vaksin..? https://t.co/ZswQ9I9CsN",0,0,75
76,antaranews,"Petugas Kepolisian Sektor Padang Selatan, Sumatera Barat, memeriksa sertifikat vaksin setiap pengunjung yang akan memasuki kawasan wisata Pantai Air Manis guna mencegah penyebaran COVID-19. 

Selengkapnya:
https://t.co/lYFoD1Wkni https://t.co/NZdr59TW3L",3,0,76
77,okezonenews,Ilmuwan Thailand Kembangkan Vaksin Covid-19 Menggunakan Tembakau #LengkapCepatBeritanya #BeritaTerkini #Kampus #KampusUpdate . https://t.co/a4w02JYr2V,0,0,77
78,satbrimob_malut,Personel Kompi 1 Batalyon C Pelopor Satuan Brimob Polda Maluku Utara melaksanan giat pengamanan di area pelaksanaan vaksinasi yang dilaksanakan di Desa Lelilef Sawai untuk memberikan rasa aman dan nyaman kepada masyarakat yang sedang melaksanakan vaksin Covid-19 https://t.co/QDbZlRr1Yn,2,0,78
79,KompasTV,2 Dokter Penjual Vaksin Covid-19 Divonis 2 Tahun Penjara https://t.co/E39OWo6Ruj https://t.co/f3VrZSEEOq,5,0,79
80,HumasPolresHST9,Ucapan terimakasih dari kelurahan Barabai Darat kepada Bhabinsa dan Bhabinkmtibmas atas kenarja sehingga kel Barabai Darat mendapat juara satu tertinggi sekabupaten pencapaian vaksin Covid 19 https://t.co/e0NlDFO8Hr,0,0,80
81,tribunpontianak,"Kades Sungai Ambawang Kuala Siapkan Doorprize Bagi Warga yang Vaksin COVID 19
 
https://t.co/ATdkvvPtUL lewat @tribunpontianak",0,0,81
82,jatengtodaycom,"Tak Hanya Pelajar, Anak Jalanan Juga Berhak Dapat Vaksin Covid-19 https://t.co/jlVtMEqrK3",0,0,82
83,POLSEK_JOHAR,"Jl. Rawa Tengah Rw.06 Kel. Galur Johar Baru Jakarta Pusat. Kegiatan Vaksin Anak Usia 6-11 tahun tersebut merupakan upaya percepatan Vaksinasi Nasional Covid-19 di tingkatan PAUD, TK dan SD.",0,0,83
84,POLSEK_JOHAR,"Jl. Pandawa Rw.05 Kel. Tanah Tinggi Johar Baru Jakarta Pusat. Kegiatan Vaksin Anak Usia 6-11 tahun tersebut merupakan upaya percepatan Vaksinasi Nasional Covid-19 di tingkatan PAUD, TK dan SD.",0,0,84
85,POLSEK_JOHAR,"Vaksin Sinovac di GOR JOHAR BARU, Jl. Rawa Selatan IV Rw.03 Kel. Johar Baru Jakarta Pusat. Kegiatan Vaksin Anak Usia 6-11 tahun tersebut merupakan upaya percepatan Vaksinasi Nasional Covid-19 di tingkatan PAUD, TK dan SD.",0,0,85
86,KAI121,@dionysiadn KAI berkomitmen untuk mencegah penyebaran COVID-19 dengan menerapkan prokes ketat. Semua penumpang KA diwajibkan sudah vaksin dan wajib melakukan skrining dengan RT-PCR/RDT Antigen pada perjalanan KA antar kota. Terima kasih. |2,0,0,86
87,detikHealth,"Seorang anak SD meninggal pasca divaksinasi COVID-19, beberapa waktu setelah dikhitan. Komnas KIPI menyimpulkan tak terkait vaksin maupun obat khitan. https://t.co/5kqYj8KRTj",2,0,87
88,detikcom,"Seorang anak SD meninggal pasca divaksinasi COVID-19, beberapa waktu setelah dikhitan. Komnas KIPI menyimpulkan tak terkait vaksin maupun obat khitan. https://t.co/OtwbUVtV1X",10,5,88
89,kabardaily,Gerai Vaksin Satgas Covid-19 Lanud SIM Laksanakan Serbuan Vaksinasi Setentak di Blang Bintang https://t.co/0HloTl4EfW,0,0,89
90,SukoharJOS,"8 Hari, 5.151 Anak Sukoharjo Usia 6-11 Tahun Disuntik Vaksin Covid-19 - Solopos https://t.co/nDFzNDh0gN
#Sukoharjo #SukoharjoMakmur #BeritaSukoharjo",0,0,90
91,pidressitubondo,Sinergitas Satgas Covid 19 Kecamatan Panji Laksanakan Grebek Vaksin Di Supermarket Royal https://t.co/sTfqy8WQh4,1,1,91
92,InspiratifPapua,"Deng Vaksin Kitong Aman Dari Bahaya Covid-19

Ayo... Vaksin https://t.co/QG9Ln6hAFp",0,0,92
93,KontanNews,"UPDATE Vaksinasi Covid-19 Per 30 Desember: Ada Penambahan 1,78 Juta Dosis Vaksin https://t.co/GDTe01aFBl #VaksinasiCovid-19",0,0,93
94,NarasiNewsroom,"Dengan rincian, 51 orang sudah menerima dua dosis vaksin, 6 orang baru mendapat satu dosis vaksin, 7 orang sama sekali belum menerima vaksin COVID-19, dan 4 lainnya masih dalam konfirmasi.

#NarasiNewsroom",2,0,94
